feature,ks_statistic,ks_pvalue,ks_drift,wasserstein_dist,wasserstein_drift,ref_mean,inc_mean,mean_shift
mfcc_143,0.061632,0.337532,False,0.027975,False,1.325,1.3126,0.0124
mfcc_144,0.061632,0.337532,False,0.037448,False,1.3311,1.3025,0.0286
mfcc_145,0.040799,0.82888,False,0.03585,False,1.3042,1.2854,0.0188
mfcc_146,0.046007,0.703607,False,0.024152,False,1.3013,1.3048,0.0035
mfcc_147,0.039931,0.847619,False,0.024137,False,1.2807,1.3028,0.0222
mfcc_148,0.068576,0.222615,False,0.025528,False,1.2719,1.2635,0.0084
mfcc_149,0.038194,0.882376,False,0.026001,False,1.2368,1.2512,0.0144
mfcc_150,0.045139,0.725517,False,0.019593,False,1.184,1.1989,0.0149
mfcc_151,0.052083,0.54925,False,0.01987,False,1.1277,1.1392,0.0115
mfcc_152,0.039931,0.847619,False,0.010941,False,1.0644,1.062,0.0024
mfcc_153,0.042535,0.789166,False,0.018362,False,1.0347,1.0492,0.0145
mfcc_154,0.052083,0.54925,False,0.017999,False,1.041,1.0561,0.0151
mfcc_155,0.036458,0.912924,False,0.013377,False,1.0185,1.0248,0.0063
mfcc_156,0.056424,0.4461,False,0.02534,False,0.9951,1.0196,0.0245
mfcc_157,0.065972,0.261698,False,0.025541,False,0.9661,0.99,0.0239
mfcc_158,0.043403,0.768393,False,0.011997,False,0.9392,0.9481,0.0088
mfcc_159,0.065104,0.275783,False,0.018921,False,0.8882,0.8835,0.0047
mfcc_160,0.046007,0.703607,False,0.002998,False,0.002,0.0029,0.0009
mfcc_161,0.071181,0.188124,False,0.00198,False,0.0033,0.0024,0.0009
mfcc_162,0.046875,0.681504,False,0.001008,False,0.001,0.0015,0.0004
mfcc_163,0.056424,0.4461,False,0.000883,False,-1e-04,0.0007,0.0008
mfcc_164,0.052951,0.52788,False,0.000814,False,-0.0004,1e-04,0.0005
mfcc_165,0.080729,0.096045,False,0.001001,False,-0.0004,0.0004,0.0008
mfcc_166,0.071181,0.188124,False,0.000995,False,-0.0004,0.0005,0.0008
mfcc_167,0.070312,0.199127,False,0.000677,False,-0.0005,-1e-04,0.0004
mfcc_168,0.048611,0.637059,False,0.000885,False,-0.0007,-0.0009,0.0002
mfcc_169,0.070312,0.199127,False,0.00077,False,-0.001,-0.0005,0.0005
mfcc_170,0.057292,0.426744,False,0.000656,False,-0.0012,-0.0006,0.0006
mfcc_171,0.048611,0.637059,False,0.000644,False,-0.0014,-0.0008,0.0005
mfcc_172,0.036458,0.912924,False,0.000522,False,-0.0013,-0.0009,0.0004
mfcc_173,0.048611,0.637059,False,0.000542,False,-0.0012,-0.0009,0.0003
mfcc_174,0.056424,0.4461,False,0.000592,False,-0.0012,-0.0008,0.0004
mfcc_175,0.049479,0.61487,False,0.000503,False,-0.0011,-0.0011,0.0
mfcc_176,0.048611,0.637059,False,0.000511,False,-0.001,-0.0007,0.0003
mfcc_177,0.046007,0.703607,False,0.000654,False,-0.001,-0.0004,0.0006
mfcc_178,0.033854,0.949718,False,0.000393,False,-0.001,-0.0007,0.0002
mfcc_179,0.044271,0.747144,False,0.000418,False,-0.0012,-0.0008,0.0003
mfcc_180,0.060764,0.354323,False,0.000534,False,-0.0008,-0.0011,0.0002
mfcc_181,0.064236,0.290407,False,0.000421,False,-0.0006,-0.0009,0.0002
mfcc_182,0.033854,0.949718,False,0.000439,False,-0.0007,-0.0008,0.0
mfcc_183,0.06684,0.248146,False,0.000499,False,-0.0008,-0.0009,0.0
mfcc_184,0.049479,0.61487,False,0.000656,False,-0.0006,-0.0005,1e-04
mfcc_185,0.045139,0.725517,False,0.00044,False,-0.0008,-0.0009,1e-04
mfcc_186,0.067708,0.235121,False,0.000326,False,-0.0009,-0.0011,0.0002
mfcc_187,0.041667,0.809362,False,0.000457,False,-0.0009,-0.0007,0.0002
mfcc_188,0.03125,0.975117,False,0.000384,False,-0.0007,-0.0005,0.0002
mfcc_189,0.070312,0.199127,False,0.000381,False,-0.0009,-0.001,1e-04
mfcc_190,0.044271,0.747144,False,0.000392,False,-0.0008,-0.0006,0.0002
mfcc_191,0.053819,0.506843,False,0.000587,False,-0.0007,-0.0004,0.0003
mfcc_192,0.050347,0.592799,False,0.000455,False,-0.0007,-0.0004,0.0003
mfcc_193,0.0625,0.321281,False,0.000353,False,-0.0007,-0.0006,1e-04
mfcc_194,0.076389,0.131766,False,0.000492,False,-0.0004,-0.0006,1e-04
mfcc_195,0.044271,0.747144,False,0.000344,False,-0.0006,-0.0004,0.0002
mfcc_196,0.078125,0.116357,False,0.00035,False,-0.0002,-0.0004,0.0002
mfcc_197,0.028646,0.990053,False,0.000241,False,-1e-04,-0.0002,0.0
mfcc_198,0.041667,0.809362,False,0.000236,False,1e-04,-1e-04,0.0002
