feature,ks_statistic,ks_pvalue,ks_drift,wasserstein_dist,wasserstein_drift,ref_mean,inc_mean,mean_shift
mfcc_191,0.190278,0.0,True,0.00113,False,-0.0008,-0.0005,0.0004
mfcc_192,0.195833,0.0,True,0.001277,False,-0.001,-0.0003,0.0007
mfcc_193,0.184722,0.0,True,0.001408,False,-0.001,-0.0003,0.0007
mfcc_194,0.179167,0.0,True,0.001216,False,-0.0006,-0.0003,0.0003
mfcc_195,0.169444,0.0,True,0.001222,False,-0.0007,-0.0004,0.0003
mfcc_196,0.130556,9e-06,True,0.001104,False,-0.0003,-1e-04,0.0002
mfcc_197,0.144444,1e-06,True,0.001195,False,-0.0002,-1e-04,0.0002
mfcc_198,0.133333,5e-06,True,0.001193,False,-1e-04,1e-04,0.0002
mfcc_199,0.154167,0.0,True,0.001153,False,-0.0002,-1e-04,1e-04
mfcc_200,0.077778,0.025635,True,0.124238,True,5.7207,5.5969,0.1238
mfcc_201,0.218056,0.0,True,0.156979,True,2.9316,2.7748,0.1568
mfcc_202,0.138889,2e-06,True,0.06475,False,1.9588,2.0221,0.0633
mfcc_203,0.036111,0.736153,False,0.013109,False,1.3587,1.3717,0.013
mfcc_204,0.15,0.0,True,0.0692,False,1.2668,1.336,0.0692
mfcc_205,0.173611,0.0,True,0.05334,False,1.161,1.1076,0.0533
mfcc_206,0.230556,0.0,True,0.078226,False,1.1458,1.2237,0.078
mfcc_207,0.316667,0.0,True,0.121854,True,1.1228,1.0009,0.1219
mfcc_208,0.065278,0.093009,False,0.011688,False,0.8934,0.904,0.0107
mfcc_209,0.106944,0.000525,True,0.029166,False,0.8615,0.8906,0.0291
mfcc_210,0.125,2.5e-05,True,0.048754,False,0.8485,0.8972,0.0486
mfcc_211,0.219444,0.0,True,0.072184,False,0.836,0.9073,0.0713
mfcc_212,0.161111,0.0,True,0.077724,False,0.8035,0.8725,0.069
mfcc_213,0.177778,0.0,True,0.08601,False,0.7824,0.8565,0.0741
mfcc_214,0.277778,0.0,True,0.142307,True,0.7368,0.8791,0.1423
mfcc_215,0.281944,0.0,True,0.147669,True,0.7378,0.8836,0.1457
mfcc_216,0.302778,0.0,True,0.148315,True,0.7332,0.8811,0.1479
mfcc_217,0.3625,0.0,True,0.182735,True,0.709,0.8917,0.1826
mfcc_218,0.3625,0.0,True,0.182542,True,0.7168,0.8993,0.1825
mfcc_219,0.405556,0.0,True,0.204712,True,0.7056,0.9103,0.2047
mfcc_220,0.423611,0.0,True,0.203331,True,0.7156,0.9189,0.2033
mfcc_221,0.466667,0.0,True,0.197313,True,0.7145,0.9118,0.1973
mfcc_222,0.4875,0.0,True,0.193282,True,0.718,0.9109,0.1929
mfcc_223,0.544444,0.0,True,0.194544,True,0.7048,0.899,0.1942
mfcc_224,0.552778,0.0,True,0.182513,True,0.7109,0.8904,0.1795
mfcc_225,0.576389,0.0,True,0.20346,True,0.6893,0.8908,0.2015
mfcc_226,0.5875,0.0,True,0.223934,True,0.6843,0.9076,0.2233
mfcc_227,0.601389,0.0,True,0.227394,True,0.6822,0.9093,0.2271
mfcc_228,0.570833,0.0,True,0.221921,True,0.678,0.9,0.2219
mfcc_229,0.572222,0.0,True,0.212579,True,0.6694,0.8816,0.2121
mfcc_230,0.506944,0.0,True,0.164632,True,0.6657,0.8303,0.1646
mfcc_231,0.427778,0.0,True,0.122098,True,0.6546,0.7759,0.1213
mfcc_232,0.388889,0.0,True,0.106053,True,0.6332,0.7389,0.1056
mfcc_233,0.402778,0.0,True,0.11092,True,0.6222,0.7323,0.1101
mfcc_234,0.366667,0.0,True,0.107022,True,0.6306,0.7376,0.107
mfcc_235,0.322222,0.0,True,0.096554,False,0.6229,0.7194,0.0966
mfcc_236,0.304167,0.0,True,0.103038,True,0.6187,0.7217,0.103
mfcc_237,0.218056,0.0,True,0.053982,False,0.6236,0.6768,0.0532
mfcc_238,0.226389,0.0,True,0.043397,False,0.6207,0.6527,0.032
mfcc_239,0.134722,4e-06,True,0.038525,False,0.6135,0.6065,0.007
